Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;4261;261;23;189;122;107;176;2134;1411;4859;441;8580;8715;25.0;110.0;18.0;8.0
2024;4543;284;26;198;123;114;199;2236;1423;5177;461;9035;9182;27.0;120.0;71.0;22.0
2025;4607;290;22;215;122;108;168;2428;1411;4905;467;8912;9061;27.0;122.0;13.0;11.0
2026;4851;299;16;206;140;126;122;2326;1619;5722;488;9789;9943;28.0;126.0;9.0;13.0
2027;4962;316;20;213;112;115;153;2405;1296;5223;460;9077;9239;29.0;133.0;22.0;11.0
2028;5120;301;17;248;136;116;130;2801;1573;5268;517;9772;9929;30.0;127.0;4.0;6.0
2029;5152;317;33;243;125;118;252;2744;1446;5359;519;9801;9964;30.0;133.0;22.0;18.0
2030;5255;311;23;254;151;123;176;2868;1747;5586;551;10377;10539;31.0;131.0;11.0;13.0
2031;5401;313;28;262;157;139;214;2959;1816;6313;586;11302;11466;32.0;132.0;27.0;11.0
2032;5412;343;33;264;173;153;252;2981;2001;6948;623;12182;12358;32.0;144.0;39.0;17.0
2033;5511;348;27;268;145;133;206;3027;1677;6040;573;10950;11129;32.0;147.0;32.0;13.0
2034;5472;378;29;245;193;146;222;2767;2233;6630;613;11852;12043;32.0;159.0;44.0;21.0
2035;5547;348;22;284;141;124;168;3207;1631;5631;571;10637;10817;33.0;147.0;25.0;15.0
2036;5490;326;33;256;161;139;252;2891;1862;6313;589;11318;11487;32.0;137.0;25.0;11.0
2037;5500;339;34;271;153;131;260;3060;1770;5949;589;11039;11214;32.0;143.0;6.0;13.0
2038;5446;314;34;273;155;132;260;3083;1793;5995;594;11131;11295;32.0;132.0;68.0;19.0
2039;5429;364;32;285;173;136;245;3219;2001;6176;626;11641;11826;32.0;153.0;24.0;13.0
2040;5436;321;23;281;161;146;176;3173;1862;6630;611;11841;12008;32.0;135.0;32.0;16.0
2041;5554;357;24;306;155;140;184;3456;1793;6358;625;11791;11974;33.0;150.0;50.0;15.0
2042;5543;309;30;274;148;140;229;3094;1712;6358;592;11393;11556;33.0;130.0;4.0;10.0
