Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;15657;989;43;197;138;110;329;2225;1596;4996;488;9146;9654;92.0;416.0;101.0;72.0;80.0;99.0;55.0
2024;15899;1050;55;195;132;113;421;2202;1527;5132;495;9282;9817;93.0;442.0;212.0;152.0;152.0;196.0;63.0
2025;16367;961;37;213;125;108;283;2405;1446;4905;483;9039;9540;96.0;405.0;111.0;83.0;87.0;104.0;40.0
2026;16440;1006;27;207;138;124;206;2338;1596;5631;496;9771;10291;96.0;424.0;95.0;69.0;72.0;91.0;32.0
2027;16903;1058;37;205;112;110;283;2315;1296;4996;464;8890;9434;99.0;445.0;102.0;71.0;72.0;91.0;37.0
2028;16996;1041;35;241;134;116;268;2722;1550;5268;526;9808;10346;100.0;438.0;92.0;66.0;71.0;89.0;36.0
2029;17329;1041;49;233;128;112;375;2631;1481;5086;522;9573;10113;102.0;438.0;87.0;59.0;66.0;81.0;47.0
2030;17526;1066;40;254;156;116;306;2868;1805;5268;566;10247;10799;103.0;449.0;117.0;81.0;83.0;107.0;51.0
2031;17904;1050;38;257;159;136;291;2902;1839;6176;590;11208;11755;105.0;442.0;105.0;73.0;77.0;98.0;35.0
2032;18061;1121;40;259;164;147;306;2925;1897;6676;610;11804;12382;106.0;472.0;104.0;71.0;79.0;96.0;38.0
2033;18312;1171;38;264;141;128;291;2981;1631;5813;571;10716;11316;107.0;493.0;73.0;50.0;54.0;68.0;38.0
2034;18391;1116;43;237;185;137;329;2676;2140;6222;602;11367;11945;108.0;470.0;103.0;71.0;80.0;96.0;43.0
2035;18660;1143;30;277;146;117;229;3128;1689;5313;570;10359;10949;109.0;481.0;87.0;51.0;63.0;78.0;42.0
2036;18685;1120;47;250;169;132;359;2823;1955;5995;598;11132;11714;110.0;472.0;111.0;80.0;81.0;103.0;41.0
2037;18992;1197;45;263;152;129;344;2970;1758;5858;589;10930;11545;111.0;504.0;48.0;31.0;37.0;46.0;34.0
2038;19156;1153;45;268;160;133;344;3027;1851;6040;606;11262;11859;112.0;485.0;126.0;86.0;93.0;116.0;54.0
2039;19496;1173;44;280;180;129;336;3162;2082;5858;633;11438;12046;114.0;494.0;77.0;52.0;51.0;71.0;47.0
2040;19747;1175;34;275;164;139;260;3106;1897;6313;612;11576;12187;116.0;495.0;68.0;45.0;50.0;61.0;47.0
2041;19863;1242;38;291;156;135;291;3286;1805;6131;620;11513;12152;116.0;523.0;126.0;91.0;91.0;116.0;41.0
2042;20295;1153;49;262;146;137;375;2959;1689;6222;594;11245;11849;119.0;485.0;105.0;77.0;81.0;100.0;40.0
