Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;51585;3331;118;234;193;116;902;2643;2233;5268;661;11046;12751;303.0;1402.0;483.0;228.0
2024;53611;3447;151;209;174;116;1155;2360;2013;5268;650;10796;12561;314.0;1451.0;596.0;256.0
2025;55933;3440;89;193;139;99;681;2180;1608;4496;520;8965;10741;328.0;1448.0;291.0;149.0
2026;57428;3499;83;183;147;120;635;2067;1700;5450;533;9852;11662;337.0;1473.0;272.0;148.0
2027;59732;3673;102;175;123;92;780;1976;1423;4178;492;8357;10253;350.0;1546.0;411.0;163.0
2028;60851;3813;86;207;123;95;658;2338;1423;4314;511;8733;10695;357.0;1605.0;395.0;144.0
2029;62577;3772;92;197;132;103;704;2225;1527;4678;524;9134;11089;367.0;1588.0;294.0;141.0
2030;63062;3982;94;217;159;106;719;2451;1839;4814;576;9823;11869;370.0;1676.0;330.0;169.0
2031;65012;3983;87;220;176;105;665;2485;2036;4768;588;9954;12012;381.0;1677.0;312.0;152.0
2032;65122;3997;85;217;173;130;650;2451;2001;5904;605;11006;13071;382.0;1683.0;277.0;153.0
2033;66123;4135;97;224;147;103;742;2530;1700;4678;571;9650;11779;388.0;1741.0;268.0;141.0
2034;66385;4085;104;195;185;131;795;2202;2140;5949;615;11086;13195;389.0;1720.0;364.0;174.0
2035;66590;4083;89;236;147;104;681;2665;1700;4723;576;9769;11879;391.0;1719.0;360.0;162.0
2036;66003;3990;92;221;172;109;704;2496;1990;4950;594;10140;12207;387.0;1680.0;319.0;155.0
2037;66076;4124;98;234;154;106;749;2643;1781;4814;592;9987;12111;388.0;1736.0;312.0;152.0
2038;65268;4027;106;232;159;112;811;2620;1839;5086;609;10356;12434;383.0;1695.0;429.0;157.0
2039;65518;4061;100;233;178;113;765;2631;2059;5132;624;10587;12681;384.0;1710.0;350.0;158.0
2040;65593;4000;93;249;181;121;711;2812;2094;5495;644;11112;13181;385.0;1684.0;347.0;186.0
2041;66297;4063;113;254;170;118;864;2868;1966;5359;655;11057;13157;389.0;1711.0;433.0;190.0
2042;67167;4018;101;218;165;114;772;2462;1909;5177;598;10320;12406;394.0;1692.0;367.0;159.0
