Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;14430;847;0;309296;5146;0;0;0;433.0;0.0;17.0;188.0;121.0;107.0;0.0;0.0
2024;1136415;13970;1287;0;315832;4714;0;0;0;440.0;0.0;14.0;195.0;118.0;113.0;0.0;0.0
2025;1149098;14423;2037;0;321258;4744;0;0;0;461.0;0.0;17.0;215.0;121.0;108.0;0.0;0.0
2026;1161484;13817;3024;0;326570;4783;0;0;0;484.0;0.0;11.0;209.0;139.0;125.0;0.0;0.0
2027;1172277;13951;3940;0;331594;4809;0;0;0;460.0;0.0;18.0;214.0;111.0;117.0;0.0;0.0
2028;1182288;14092;4972;0;336511;4890;0;0;0;515.0;0.0;16.0;250.0;132.0;117.0;0.0;0.0
2029;1191408;13890;5890;0;341993;4912;0;0;0;516.0;0.0;27.0;248.0;123.0;118.0;0.0;0.0
2030;1199408;13839;6525;0;347658;4937;0;0;0;546.0;0.0;17.0;258.0;150.0;121.0;0.0;0.0
2031;1206722;14955;6873;0;353178;4918;0;0;0;591.0;0.0;22.0;269.0;157.0;143.0;0.0;0.0
2032;1214804;13406;7386;0;357145;4867;0;0;0;615.0;0.0;24.0;267.0;169.0;155.0;0.0;0.0
2033;1220824;13832;7685;0;360455;4789;0;0;0;576.0;0.0;22.0;274.0;143.0;137.0;0.0;0.0
2034;1226971;13120;8349;0;363609;4744;0;0;0;604.0;0.0;19.0;250.0;187.0;148.0;0.0;0.0
2035;1231742;13327;9520;0;366753;4732;0;0;0;573.0;0.0;14.0;290.0;144.0;125.0;0.0;0.0
2036;1235549;15380;10167;0;370284;4698;0;0;0;592.0;0.0;30.0;255.0;164.0;143.0;0.0;0.0
2037;1240762;13644;10898;0;374424;4662;0;0;0;589.0;0.0;30.0;274.0;152.0;133.0;0.0;0.0
2038;1243508;13334;11459;0;379066;4625;0;0;0;587.0;0.0;29.0;271.0;155.0;132.0;0.0;0.0
2039;1245383;13383;12071;0;384332;4640;0;0;0;636.0;0.0;28.0;296.0;174.0;138.0;0.0;0.0
2040;1246695;14435;12403;0;389550;4622;0;0;0;609.0;0.0;18.0;282.0;158.0;151.0;0.0;0.0
2041;1248727;14269;12719;0;394921;4634;0;0;0;626.0;0.0;18.0;309.0;155.0;144.0;0.0;0.0
2042;1250277;12807;13063;0;400064;4596;0;0;0;593.0;0.0;26.0;277.0;147.0;143.0;0.0;0.0
