Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;14405;862;0;309297;5147;0;0;0;433.0;0.0;17.0;188.0;121.0;107.0;0.0;0.0
2024;1136375;15094;1242;0;315832;4715;0;0;0;440.0;0.0;14.0;195.0;118.0;113.0;0.0;0.0
2025;1150227;13401;2007;0;321259;4756;0;0;0;461.0;0.0;17.0;215.0;121.0;108.0;0.0;0.0
2026;1161621;13905;2974;0;326566;4781;0;0;0;484.0;0.0;11.0;209.0;139.0;125.0;0.0;0.0
2027;1172552;15106;4076;0;331595;4813;0;0;0;460.0;0.0;18.0;214.0;111.0;117.0;0.0;0.0
2028;1183582;14399;4938;0;336516;4910;0;0;0;515.0;0.0;16.0;250.0;132.0;117.0;0.0;0.0
2029;1193043;13822;6019;0;341991;4918;0;0;0;517.0;0.0;27.0;249.0;123.0;118.0;0.0;0.0
2030;1200846;13404;6507;0;347662;4932;0;0;0;546.0;0.0;17.0;258.0;150.0;121.0;0.0;0.0
2031;1207743;15271;6994;0;353203;4929;0;0;0;590.0;0.0;22.0;268.0;157.0;143.0;0.0;0.0
2032;1216020;14222;7189;0;357146;4877;0;0;0;617.0;0.0;24.0;268.0;170.0;155.0;0.0;0.0
2033;1223053;13591;7729;0;360437;4777;0;0;0;574.0;0.0;22.0;273.0;143.0;136.0;0.0;0.0
2034;1228915;14272;8276;0;363595;4746;0;0;0;603.0;0.0;19.0;248.0;187.0;149.0;0.0;0.0
2035;1234911;14442;9226;0;366755;4713;0;0;0;571.0;0.0;14.0;290.0;142.0;125.0;0.0;0.0
2036;1240127;13551;10231;0;370286;4723;0;0;0;592.0;0.0;30.0;255.0;164.0;143.0;0.0;0.0
2037;1243447;14159;11027;0;374392;4666;0;0;0;586.0;0.0;29.0;274.0;151.0;132.0;0.0;0.0
2038;1246579;13432;11420;0;379055;4644;0;0;0;587.0;0.0;29.0;272.0;155.0;131.0;0.0;0.0
2039;1248591;13631;12275;0;384359;4652;0;0;0;638.0;0.0;28.0;297.0;174.0;139.0;0.0;0.0
2040;1249947;13121;12547;0;389552;4639;0;0;0;615.0;0.0;18.0;285.0;160.0;152.0;0.0;0.0
2041;1250521;14276;12919;0;394884;4628;0;0;0;623.0;0.0;18.0;308.0;153.0;144.0;0.0;0.0
2042;1251878;15182;13175;0;400078;4622;0;0;0;596.0;0.0;26.0;278.0;148.0;144.0;0.0;0.0
