Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;4261;261;23;189;122;107;176;2134;1411;4859;441;8580;8715;25.0;110.0;18.0;8.0
2024;4544;283;26;198;122;114;199;2236;1411;5177;460;9023;9169;27.0;119.0;72.0;21.0
2025;4607;290;22;215;122;108;168;2428;1411;4905;467;8912;9061;27.0;122.0;13.0;11.0
2026;4850;301;17;206;141;126;130;2326;1631;5722;490;9809;9964;28.0;127.0;14.0;15.0
2027;4962;316;20;213;112;115;153;2405;1296;5223;460;9077;9239;29.0;133.0;22.0;11.0
2028;5121;301;17;247;136;115;130;2789;1573;5223;515;9715;9872;30.0;127.0;4.0;6.0
2029;5152;317;33;244;125;118;252;2756;1446;5359;520;9813;9976;30.0;133.0;22.0;18.0
2030;5257;311;22;254;151;123;168;2868;1747;5586;550;10369;10531;31.0;131.0;7.0;12.0
2031;5399;313;28;263;157;140;214;2970;1816;6358;588;11358;11522;32.0;132.0;27.0;11.0
2032;5408;343;34;264;172;151;260;2981;1990;6858;621;12089;12265;32.0;144.0;43.0;17.0
2033;5513;347;27;269;144;134;206;3038;1666;6085;574;10995;11173;32.0;146.0;33.0;12.0
2034;5472;380;28;246;195;145;214;2778;2256;6585;614;11833;12025;32.0;160.0;39.0;22.0
2035;5546;348;21;284;144;125;161;3207;1666;5677;574;10711;10891;33.0;147.0;4.0;16.0
2036;5490;329;35;255;162;139;268;2880;1874;6313;591;11335;11506;32.0;139.0;34.0;14.0
2037;5501;337;34;271;151;130;260;3060;1747;5904;586;10971;11145;32.0;142.0;12.0;11.0
2038;5449;316;36;275;155;132;275;3106;1793;5995;598;11169;11334;32.0;133.0;68.0;20.0
2039;5433;364;35;283;171;134;268;3196;1978;6085;623;11527;11712;32.0;153.0;38.0;13.0
2040;5437;320;23;279;159;145;176;3151;1839;6585;606;11751;11918;32.0;135.0;39.0;15.0
2041;5552;360;24;307;158;140;184;3467;1828;6358;629;11837;12022;33.0;152.0;51.0;18.0
2042;5545;309;30;273;146;142;229;3083;1689;6449;591;11450;11613;33.0;130.0;6.0;9.0
