Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;0;0;17;188;121;107;130;2123;1400;4859;433;8512;8512;0.0;0.0;0.0;0.0
2024;0;0;14;195;118;113;107;2202;1365;5132;440;8806;8806;0.0;0.0;0.0;0.0
2025;0;0;17;215;121;108;130;2428;1400;4905;461;8863;8863;0.0;0.0;0.0;0.0
2026;0;0;11;209;139;125;84;2360;1608;5677;484;9729;9729;0.0;0.0;0.0;0.0
2027;0;0;18;215;111;117;138;2428;1284;5313;461;9163;9163;0.0;0.0;0.0;0.0
2028;0;0;16;250;133;117;122;2823;1538;5313;516;9796;9796;0.0;0.0;0.0;0.0
2029;0;0;27;249;123;118;206;2812;1423;5359;517;9800;9800;0.0;0.0;0.0;0.0
2030;0;0;17;258;151;121;130;2914;1747;5495;547;10286;10286;0.0;0.0;0.0;0.0
2031;0;0;22;268;157;143;168;3027;1816;6494;590;11505;11505;0.0;0.0;0.0;0.0
2032;0;0;24;268;170;154;184;3027;1966;6994;616;12171;12171;0.0;0.0;0.0;0.0
2033;0;0;22;273;143;136;168;3083;1654;6176;574;11081;11081;0.0;0.0;0.0;0.0
2034;0;0;19;248;187;148;145;2801;2163;6721;602;11830;11830;0.0;0.0;0.0;0.0
2035;0;0;14;290;142;125;107;3275;1643;5677;571;10702;10702;0.0;0.0;0.0;0.0
2036;0;0;30;254;164;143;229;2868;1897;6494;591;11488;11488;0.0;0.0;0.0;0.0
2037;0;0;29;275;152;132;222;3106;1758;5995;588;11081;11081;0.0;0.0;0.0;0.0
2038;0;0;29;271;155;131;222;3060;1793;5949;586;11024;11024;0.0;0.0;0.0;0.0
2039;0;0;28;294;174;140;214;3320;2013;6358;636;11905;11905;0.0;0.0;0.0;0.0
2040;0;0;18;285;162;152;138;3219;1874;6903;617;12134;12134;0.0;0.0;0.0;0.0
2041;0;0;18;307;156;144;138;3467;1805;6540;625;11950;11950;0.0;0.0;0.0;0.0
2042;0;0;26;277;146;144;199;3128;1689;6540;593;11556;11556;0.0;0.0;0.0;0.0
