Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;13007;814;38;196;131;110;291;2213;1515;4996;475;9015;9434;76.0;343.0;77.0;42.0
2024;13431;920;43;197;135;114;329;2225;1562;5177;489;9293;9759;79.0;387.0;154.0;57.0
2025;14170;841;36;214;127;106;275;2417;1469;4814;483;8975;9412;83.0;354.0;86.0;38.0
2026;14420;887;33;207;138;122;252;2338;1596;5541;500;9727;10185;85.0;373.0;123.0;40.0
2027;15184;966;38;205;114;112;291;2315;1319;5086;469;9011;9507;89.0;407.0;108.0;43.0
2028;15216;953;32;241;135;111;245;2722;1562;5041;519;9570;10060;89.0;401.0;102.0;33.0
2029;15790;946;44;237;131;112;336;2676;1515;5086;524;9613;10104;93.0;398.0;78.0;41.0
2030;15676;952;38;246;149;113;291;2778;1724;5132;546;9925;10418;92.0;401.0;77.0;36.0
2031;16390;965;35;254;169;135;268;2868;1955;6131;593;11222;11724;96.0;406.0;39.0;43.0
2032;16132;1017;43;256;171;149;329;2891;1978;6767;619;11965;12488;95.0;428.0;103.0;45.0
2033;16657;1076;40;255;140;133;306;2880;1619;6040;568;10845;11396;98.0;453.0;72.0;34.0
2034;16371;1013;45;242;188;136;344;2733;2175;6176;611;11428;11950;96.0;426.0;118.0;49.0
2035;16784;1036;31;282;143;123;237;3185;1654;5586;579;10662;11196;98.0;436.0;74.0;46.0
2036;16310;1000;54;247;165;133;413;2789;1909;6040;599;11151;11668;96.0;421.0;159.0;48.0
2037;16602;1051;50;263;150;124;382;2970;1735;5631;587;10718;11257;97.0;442.0;81.0;37.0
2038;16200;971;37;268;162;130;283;3027;1874;5904;597;11088;11592;95.0;409.0;100.0;42.0
2039;16426;996;43;281;171;129;329;3173;1978;5858;624;11338;11853;96.0;419.0;82.0;39.0
2040;16338;980;35;283;158;136;268;3196;1828;6176;612;11468;11977;96.0;413.0;90.0;46.0
2041;16563;1039;38;291;154;136;291;3286;1781;6176;619;11534;12068;97.0;437.0;106.0;40.0
2042;16563;944;42;271;144;139;321;3060;1666;6313;596;11360;11854;97.0;397.0;49.0;39.0
