Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;31441;1940;72;209;153;113;551;2360;1770;5132;547;9813;10814;184.0;817.0;327.0;244.0;248.0;304.0;114.0
2024;31910;2091;92;204;155;113;704;2304;1793;5132;564;9933;11000;187.0;880.0;475.0;349.0;352.0;441.0;143.0
2025;32802;1980;55;203;125;97;421;2293;1446;4405;480;8565;9591;192.0;834.0;196.0;138.0;155.0;188.0;73.0
2026;32949;1963;51;202;139;109;390;2281;1608;4950;501;9229;10248;193.0;826.0;191.0;130.0;143.0;179.0;68.0
2027;33908;2059;55;200;123;107;421;2259;1423;4859;485;8962;10028;199.0;867.0;179.0;123.0;121.0;156.0;90.0
2028;33922;2126;48;230;144;111;367;2597;1666;5041;533;9671;10765;199.0;895.0;160.0;113.0;122.0;151.0;74.0
2029;34808;2089;61;233;132;108;466;2631;1527;4905;534;9529;10612;204.0;879.0;174.0;129.0;137.0;164.0;82.0
2030;34996;2174;59;247;157;106;451;2789;1816;4814;569;9870;10990;205.0;915.0;188.0;127.0;132.0;171.0;86.0
2031;35975;2183;53;246;167;129;405;2778;1932;5858;595;10973;12103;211.0;919.0;194.0;142.0;145.0;181.0;78.0
2032;35994;2182;55;244;159;139;421;2756;1839;6313;597;11329;12459;211.0;919.0;224.0;163.0;170.0;205.0;73.0
2033;36751;2278;57;253;137;124;436;2857;1585;5631;571;10509;11684;216.0;959.0;181.0;121.0;130.0;165.0;73.0
2034;36713;2251;55;231;175;129;421;2609;2024;5858;590;10912;12075;215.0;948.0;137.0;86.0;103.0;129.0;72.0
2035;37366;2305;44;268;152;116;336;3027;1758;5268;580;10389;11578;219.0;970.0;128.0;78.0;94.0;118.0;84.0
2036;37351;2226;68;233;167;127;520;2631;1932;5768;595;10851;12007;219.0;937.0;168.0;112.0;124.0;159.0;75.0
2037;38022;2351;68;251;151;119;520;2835;1747;5404;589;10506;11719;223.0;990.0;186.0;127.0;136.0;172.0;73.0
2038;38182;2297;66;263;164;131;505;2970;1897;5949;624;11321;12512;224.0;967.0;228.0;160.0;172.0;210.0;97.0
2039;39103;2339;56;258;176;124;428;2914;2036;5631;614;11009;12223;229.0;985.0;135.0;86.0;92.0;122.0;82.0
2040;39222;2367;53;273;170;130;405;3083;1966;5904;626;11358;12585;230.0;997.0;176.0;124.0;128.0;165.0;96.0
2041;40025;2450;58;287;151;130;444;3241;1747;5904;626;11336;12602;235.0;1031.0;225.0;163.0;165.0;205.0;83.0
2042;40371;2397;61;244;144;132;466;2756;1666;5995;581;10883;12129;237.0;1009.0;184.0;131.0;145.0;172.0;72.0
