Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;4261;261;23;189;122;107;176;2134;1411;4859;441;8580;8715;25.0;110.0;18.0;8.0
2024;4542;285;27;198;123;114;206;2236;1423;5177;462;9042;9189;27.0;120.0;75.0;23.0
2025;4607;290;22;215;123;108;168;2428;1423;4905;468;8924;9073;27.0;122.0;13.0;11.0
2026;4851;298;15;206;140;126;115;2326;1619;5722;487;9782;9935;28.0;125.0;5.0;12.0
2027;4962;316;20;213;112;115;153;2405;1296;5223;460;9077;9239;29.0;133.0;22.0;11.0
2028;5121;301;17;247;137;115;130;2789;1585;5223;516;9727;9884;30.0;127.0;4.0;6.0
2029;5153;317;33;244;125;118;252;2756;1446;5359;520;9813;9976;30.0;133.0;22.0;18.0
2030;5253;310;23;254;152;123;176;2868;1758;5586;552;10388;10550;31.0;131.0;11.0;13.0
2031;5401;313;28;262;157;140;214;2959;1816;6358;587;11347;11511;32.0;132.0;27.0;11.0
2032;5408;343;33;264;174;152;252;2981;2013;6903;623;12149;12325;32.0;144.0;39.0;17.0
2033;5513;347;27;268;145;133;206;3027;1677;6040;573;10950;11128;32.0;146.0;33.0;12.0
2034;5470;379;28;244;194;145;214;2756;2244;6585;611;11799;11991;32.0;160.0;39.0;21.0
2035;5546;350;22;284;140;125;168;3207;1619;5677;571;10671;10851;33.0;147.0;18.0;17.0
2036;5487;329;37;256;162;139;283;2891;1874;6313;594;11361;11532;32.0;139.0;39.0;15.0
2037;5503;338;32;271;153;130;245;3060;1770;5904;586;10979;11153;32.0;142.0;8.0;11.0
2038;5447;314;33;275;155;131;252;3106;1793;5949;594;11100;11264;32.0;132.0;61.0;18.0
2039;5434;364;34;284;173;135;260;3207;2001;6131;626;11599;11784;32.0;153.0;29.0;13.0
2040;5439;322;23;282;161;146;176;3185;1862;6630;612;11853;12021;32.0;136.0;32.0;16.0
2041;5546;354;23;306;155;140;176;3456;1793;6358;624;11783;11965;33.0;149.0;46.0;14.0
2042;5546;309;30;275;148;141;229;3106;1712;6403;594;11450;11613;33.0;130.0;6.0;9.0
