Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;17201;1090;47;200;136;110;359;2259;1573;4996;493;9187;9747;101.0;459.0;127.0;60.0
2024;18014;1181;54;197;132;115;413;2225;1527;5223;498;9388;9991;106.0;497.0;190.0;70.0
2025;18731;1128;46;211;120;103;352;2383;1388;4678;480;8801;9386;110.0;475.0;100.0;46.0
2026;19278;1200;38;208;143;125;291;2349;1654;5677;514;9971;10589;113.0;505.0;151.0;52.0
2027;20082;1262;40;202;115;104;306;2281;1330;4723;461;8640;9289;118.0;531.0;136.0;49.0
2028;20308;1247;34;241;134;112;260;2722;1550;5086;521;9618;10262;119.0;525.0;105.0;42.0
2029;20946;1282;52;230;129;117;398;2597;1492;5313;528;9800;10463;123.0;540.0;115.0;54.0
2030;20912;1282;41;243;156;114;314;2744;1805;5177;554;10040;10703;123.0;540.0;145.0;50.0
2031;21759;1301;37;256;174;128;283;2891;2013;5813;595;11000;11676;128.0;548.0;56.0;55.0
2032;21564;1331;54;254;161;146;413;2868;1862;6630;615;11773;12459;126.0;560.0;142.0;59.0
2033;22113;1408;48;257;141;128;367;2902;1631;5813;574;10713;11436;130.0;593.0;109.0;46.0
2034;21886;1356;46;239;191;134;352;2699;2209;6085;610;11345;12044;128.0;571.0;121.0;59.0
2035;22299;1379;38;279;143;125;291;3151;1654;5677;585;10773;11485;131.0;581.0;108.0;61.0
2036;21826;1307;57;240;163;128;436;2710;1885;5813;588;10844;11522;128.0;550.0;137.0;51.0
2037;22070;1435;57;257;155;124;436;2902;1793;5631;593;10762;11495;129.0;604.0;97.0;53.0
2038;21598;1297;49;269;160;130;375;3038;1851;5904;608;11168;11841;127.0;546.0;145.0;59.0
2039;21909;1350;46;273;170;123;352;3083;1966;5586;612;10987;11683;128.0;568.0;134.0;51.0
2040;21729;1305;42;280;162;137;321;3162;1874;6222;621;11579;12255;127.0;549.0;124.0;63.0
2041;22150;1393;45;290;152;133;344;3275;1758;6040;620;11417;12133;130.0;586.0;139.0;56.0
2042;22142;1290;50;262;138;137;382;2959;1596;6222;587;11159;11832;130.0;543.0;121.0;48.0
