Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;13006;815;38;196;132;110;291;2213;1527;4996;476;9027;9446;76.0;343.0;77.0;43.0
2024;13432;921;43;197;135;114;329;2225;1562;5177;489;9293;9760;79.0;388.0;154.0;57.0
2025;14171;839;36;214;125;105;275;2417;1446;4768;480;8906;9342;83.0;353.0;86.0;36.0
2026;14421;886;33;208;138;121;252;2349;1596;5495;500;9692;10150;85.0;373.0;130.0;39.0
2027;15182;967;39;205;114;112;298;2315;1319;5086;470;9018;9514;89.0;407.0;113.0;44.0
2028;15215;957;33;241;134;115;252;2722;1550;5223;523;9747;10239;89.0;403.0;96.0;37.0
2029;15789;945;45;238;130;112;344;2688;1504;5086;525;9622;10113;93.0;398.0;80.0;41.0
2030;15675;950;37;247;149;113;283;2789;1724;5132;546;9928;10420;92.0;400.0;78.0;35.0
2031;16388;966;35;254;169;135;268;2868;1955;6131;593;11222;11725;96.0;407.0;39.0;43.0
2032;16130;1006;42;255;165;150;321;2880;1909;6812;612;11922;12441;95.0;424.0;95.0;38.0
2033;16659;1078;40;255;143;133;306;2880;1654;6040;571;10880;11432;98.0;454.0;75.0;36.0
2034;16372;1017;44;243;189;136;336;2744;2186;6176;612;11442;11966;96.0;428.0;123.0;52.0
2035;16788;1034;32;281;143;121;245;3173;1654;5495;577;10567;11100;98.0;435.0;78.0;43.0
2036;16314;1000;56;247;164;133;428;2789;1897;6040;600;11154;11671;96.0;421.0;155.0;49.0
2037;16613;1052;49;265;151;125;375;2993;1747;5677;590;10792;11332;97.0;443.0;70.0;39.0
2038;16200;971;40;267;161;130;306;3015;1862;5904;598;11087;11591;95.0;409.0;108.0;42.0
2039;16432;995;46;279;172;131;352;3151;1990;5949;628;11442;11957;96.0;419.0;95.0;39.0
2040;16339;982;35;283;158;137;268;3196;1828;6222;613;11514;12023;96.0;413.0;86.0;47.0
2041;16561;1037;37;291;155;136;283;3286;1793;6176;619;11538;12072;97.0;437.0;111.0;39.0
2042;16585;944;42;270;143;138;321;3049;1654;6267;593;11291;11785;97.0;397.0;45.0;38.0
