Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;13006;815;38;196;132;110;291;2213;1527;4996;476;9027;9446;76.0;343.0;77.0;43.0
2024;13432;921;43;197;135;114;329;2225;1562;5177;489;9293;9760;79.0;388.0;154.0;57.0
2025;14171;839;36;214;125;106;275;2417;1446;4814;481;8952;9388;83.0;353.0;88.0;36.0
2026;14420;882;32;206;138;121;245;2326;1596;5495;497;9662;10118;85.0;371.0;121.0;37.0
2027;15184;967;39;204;115;112;298;2304;1330;5086;470;9018;9514;89.0;407.0;105.0;44.0
2028;15215;955;33;242;134;113;252;2733;1550;5132;522;9667;10158;89.0;402.0;99.0;36.0
2029;15788;945;45;238;131;112;344;2688;1515;5086;526;9633;10124;93.0;398.0;80.0;42.0
2030;15676;952;37;246;150;114;283;2778;1735;5177;547;9973;10466;92.0;401.0;72.0;36.0
2031;16389;966;35;256;169;135;268;2891;1955;6131;595;11245;11748;96.0;407.0;45.0;44.0
2032;16131;1014;41;255;170;148;314;2880;1966;6721;614;11881;12403;95.0;427.0;91.0;42.0
2033;16655;1078;40;256;143;133;306;2891;1654;6040;572;10891;11443;98.0;454.0;68.0;37.0
2034;16370;1019;45;242;190;136;344;2733;2198;6176;613;11451;11976;96.0;429.0;135.0;53.0
2035;16784;1037;32;279;142;122;245;3151;1643;5541;575;10580;11115;98.0;437.0;81.0;45.0
2036;16315;998;53;247;164;133;405;2789;1897;6040;597;11131;11647;96.0;420.0;139.0;46.0
2037;16598;1047;47;265;150;123;359;2993;1735;5586;585;10673;11211;97.0;441.0;66.0;34.0
2038;16200;975;43;266;162;129;329;3004;1874;5858;600;11065;11570;95.0;410.0;125.0;46.0
2039;16434;1000;46;277;175;132;352;3128;2024;5995;630;11499;12016;96.0;421.0;93.0;43.0
2040;16333;985;35;284;164;135;268;3207;1897;6131;618;11503;12014;96.0;415.0;94.0;48.0
2041;16573;1042;39;290;158;137;298;3275;1828;6222;624;11623;12159;97.0;439.0;118.0;43.0
2042;16573;943;41;271;144;138;314;3060;1666;6267;594;11307;11801;97.0;397.0;50.0;38.0
