Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;4261;261;23;189;122;107;176;2134;1411;4859;441;8580;8715;25.0;110.0;18.0;8.0
2024;4542;285;27;198;123;114;206;2236;1423;5177;462;9042;9189;27.0;120.0;75.0;23.0
2025;4607;290;22;215;122;108;168;2428;1411;4905;467;8912;9061;27.0;122.0;13.0;11.0
2026;4851;298;15;207;140;126;115;2338;1619;5722;488;9794;9947;28.0;125.0;5.0;12.0
2027;4963;315;20;212;113;115;153;2394;1307;5223;460;9077;9239;29.0;133.0;16.0;10.0
2028;5121;301;17;248;135;117;130;2801;1562;5313;517;9806;9963;30.0;127.0;4.0;6.0
2029;5153;317;32;245;125;118;245;2767;1446;5359;520;9817;9980;30.0;133.0;24.0;18.0
2030;5256;310;23;254;151;122;176;2868;1747;5541;550;10332;10494;31.0;131.0;16.0;12.0
2031;5400;313;28;263;157;139;214;2970;1816;6313;587;11313;11477;32.0;132.0;27.0;11.0
2032;5411;343;33;264;172;155;252;2981;1990;7039;624;12262;12438;32.0;144.0;34.0;17.0
2033;5512;348;27;269;145;134;206;3038;1677;6085;575;11006;11185;32.0;147.0;32.0;13.0
2034;5472;378;28;247;194;146;214;2789;2244;6630;615;11877;12068;32.0;159.0;38.0;21.0
2035;5549;345;19;284;143;125;145;3207;1654;5677;571;10683;10861;33.0;145.0;-3.0;13.0
2036;5494;328;34;256;161;139;260;2891;1862;6313;590;11326;11496;32.0;138.0;27.0;12.0
2037;5502;338;34;271;152;129;260;3060;1758;5858;586;10936;11110;32.0;142.0;17.0;12.0
2038;5447;317;37;274;156;132;283;3094;1805;5995;599;11177;11342;32.0;133.0;77.0;22.0
2039;5430;366;34;285;174;136;260;3219;2013;6176;629;11668;11854;32.0;154.0;38.0;15.0
2040;5439;321;22;278;161;147;168;3140;1862;6676;608;11846;12013;32.0;135.0;29.0;15.0
2041;5548;357;23;305;156;139;176;3444;1805;6313;623;11738;11921;33.0;150.0;41.0;16.0
2042;5543;308;30;273;147;141;229;3083;1700;6403;591;11415;11578;33.0;130.0;6.0;9.0
