Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;13007;814;38;196;131;110;291;2213;1515;4996;475;9015;9434;76.0;343.0;77.0;42.0
2024;13430;919;43;197;135;114;329;2225;1562;5177;489;9293;9759;79.0;387.0;154.0;57.0
2025;14171;840;36;214;126;105;275;2417;1458;4768;481;8918;9355;83.0;354.0;86.0;37.0
2026;14422;886;33;206;138;122;252;2326;1596;5541;499;9715;10173;85.0;373.0;123.0;39.0
2027;15183;966;38;205;114;112;291;2315;1319;5086;469;9011;9507;89.0;407.0;109.0;43.0
2028;15215;955;32;242;135;113;245;2733;1562;5132;522;9672;10163;89.0;402.0;99.0;35.0
2029;15787;947;46;238;131;112;352;2688;1515;5086;527;9641;10133;93.0;399.0;88.0;44.0
2030;15674;950;38;246;148;113;291;2778;1712;5132;545;9913;10405;92.0;400.0;79.0;35.0
2031;16387;962;33;253;169;135;252;2857;1955;6131;590;11195;11696;96.0;405.0;26.0;40.0
2032;16130;1015;43;255;168;149;329;2880;1943;6767;615;11919;12441;95.0;427.0;107.0;43.0
2033;16659;1077;40;254;143;134;306;2868;1654;6085;571;10913;11464;98.0;453.0;67.0;36.0
2034;16374;1014;45;240;187;135;344;2710;2163;6131;607;11348;11871;96.0;427.0;126.0;49.0
2035;16792;1037;33;279;145;121;252;3151;1677;5495;578;10575;11110;98.0;437.0;96.0;45.0
2036;16314;996;52;245;168;133;398;2767;1943;6040;598;11148;11663;96.0;419.0;124.0;44.0
2037;16608;1048;47;264;149;127;359;2981;1724;5768;587;10832;11370;97.0;441.0;51.0;36.0
2038;16197;976;41;270;163;130;314;3049;1885;5904;604;11152;11658;95.0;411.0;131.0;49.0
2039;16420;997;43;280;173;131;329;3162;2001;5949;627;11441;11957;96.0;420.0;85.0;42.0
2040;16336;979;33;278;159;134;252;3140;1839;6085;604;11316;11824;96.0;412.0;80.0;44.0
2041;16557;1028;34;290;152;136;260;3275;1758;6176;612;11469;11999;97.0;433.0;89.0;34.0
2042;16576;946;47;269;147;138;359;3038;1700;6267;601;11364;11859;97.0;398.0;65.0;42.0
