Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;8575;540;34;192;127;108;260;2168;1469;4905;461;8802;9079;50.0;227.0;73.0;28.0
2024;8936;599;33;199;124;112;252;2247;1434;5086;468;9019;9323;52.0;252.0;104.0;33.0
2025;9367;556;30;216;124;108;229;2439;1434;4905;478;9007;9296;55.0;234.0;55.0;30.0
2026;9596;614;28;209;141;122;214;2360;1631;5541;500;9746;10060;56.0;258.0;80.0;32.0
2027;10037;632;34;205;109;111;260;2315;1261;5041;459;8877;9202;59.0;266.0;80.0;25.0
2028;10124;637;27;245;134;117;206;2767;1550;5313;523;9836;10163;59.0;268.0;52.0;22.0
2029;10456;629;35;237;125;113;268;2676;1446;5132;510;9522;9848;61.0;265.0;25.0;20.0
2030;10430;604;28;251;151;122;214;2835;1747;5541;552;10337;10652;61.0;254.0;45.0;24.0
2031;10839;637;35;256;161;137;268;2891;1862;6222;589;11243;11575;64.0;268.0;59.0;27.0
2032;10760;676;37;260;169;151;283;2936;1955;6858;617;12032;12380;63.0;285.0;58.0;23.0
2033;11012;689;32;265;143;133;245;2993;1654;6040;573;10932;11287;65.0;290.0;50.0;20.0
2034;10924;684;39;243;194;140;298;2744;2244;6358;616;11644;11996;64.0;288.0;93.0;38.0
2035;11164;694;27;282;144;121;206;3185;1666;5495;574;10552;10909;65.0;292.0;65.0;32.0
2036;10906;667;38;251;166;134;291;2835;1920;6085;589;11131;11476;64.0;281.0;71.0;27.0
2037;11046;715;43;268;156;130;329;3027;1805;5904;597;11065;11431;65.0;301.0;55.0;28.0
2038;10867;654;38;273;159;129;291;3083;1839;5858;599;11071;11410;64.0;275.0;83.0;35.0
2039;10882;684;39;287;173;131;298;3241;2001;5949;630;11489;11841;64.0;288.0;86.0;29.0
2040;10942;647;31;281;156;142;237;3173;1805;6449;610;11664;12000;64.0;272.0;66.0;28.0
2041;10967;685;27;296;153;139;206;3343;1770;6313;615;11632;11984;64.0;288.0;33.0;23.0
2042;11135;625;33;275;145;140;252;3106;1677;6358;593;11393;11721;65.0;263.0;19.0;20.0
