Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;17202;1089;47;200;135;110;359;2259;1562;4996;492;9176;9735;101.0;458.0;128.0;59.0
2024;18011;1184;55;198;134;114;421;2236;1550;5177;501;9384;9988;106.0;498.0;198.0;73.0
2025;18731;1127;46;210;120;103;352;2372;1388;4678;479;8790;9374;110.0;474.0;100.0;45.0
2026;19278;1199;37;208;142;126;283;2349;1643;5722;513;9997;10615;113.0;505.0;144.0;51.0
2027;20082;1255;37;202;114;104;283;2281;1319;4723;457;8606;9252;118.0;528.0;120.0;45.0
2028;20308;1244;33;239;133;113;252;2699;1538;5132;518;9621;10264;119.0;524.0;101.0;39.0
2029;20951;1295;55;234;131;117;421;2643;1515;5313;537;9892;10560;123.0;545.0;117.0;62.0
2030;20919;1277;40;245;153;113;306;2767;1770;5132;551;9975;10636;123.0;538.0;128.0;46.0
2031;21762;1303;37;254;173;129;283;2868;2001;5858;593;11010;11687;128.0;549.0;55.0;54.0
2032;21569;1327;53;255;157;148;405;2880;1816;6721;613;11822;12508;127.0;559.0;136.0;55.0
2033;22119;1406;47;256;139;129;359;2891;1608;5858;571;10716;11438;130.0;592.0;121.0;42.0
2034;21879;1366;49;236;196;133;375;2665;2267;6040;614;11347;12050;128.0;575.0;137.0;67.0
2035;22306;1378;38;277;144;125;291;3128;1666;5677;584;10762;11473;131.0;580.0;89.0;60.0
2036;21820;1302;55;240;163;128;421;2710;1885;5813;586;10829;11505;128.0;548.0;122.0;47.0
2037;22074;1440;58;260;153;124;444;2936;1770;5631;595;10781;11516;129.0;606.0;122.0;55.0
2038;21608;1300;53;271;160;130;405;3060;1851;5904;614;11220;11894;127.0;547.0;165.0;63.0
2039;21908;1348;44;271;173;124;336;3060;2001;5631;612;11028;11724;128.0;568.0;124.0;52.0
2040;21734;1310;47;277;159;137;359;3128;1839;6222;620;11548;12227;127.0;552.0;147.0;63.0
2041;22142;1387;43;289;156;132;329;3264;1805;5995;620;11393;12107;130.0;584.0;129.0;53.0
2042;22145;1292;47;264;139;139;359;2981;1608;6313;589;11261;11935;130.0;544.0;103.0;49.0
