Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;34417;2159;85;212;158;114;650;2394;1828;5177;569;10049;11160;202.0;909.0;285.0;136.0
2024;35732;2331;99;201;149;115;757;2270;1724;5223;564;9974;11165;210.0;981.0;372.0;154.0
2025;37311;2253;64;211;134;99;489;2383;1550;4496;508;8918;10086;219.0;949.0;170.0;92.0
2026;38208;2274;58;198;144;121;444;2236;1666;5495;521;9841;11022;224.0;957.0;247.0;92.0
2027;39852;2462;71;188;124;104;543;2123;1434;4723;487;8823;10094;234.0;1037.0;250.0;108.0
2028;40428;2535;56;217;133;107;428;2451;1538;4859;513;9276;10580;237.0;1067.0;202.0;99.0
2029;41762;2543;75;218;133;112;574;2462;1538;5086;538;9660;10976;245.0;1071.0;204.0;98.0
2030;41837;2579;62;221;157;110;474;2496;1816;4996;550;9782;11113;245.0;1086.0;165.0;93.0
2031;43417;2689;67;240;165;116;512;2710;1909;5268;588;10399;11786;255.0;1132.0;222.0;98.0
2032;43111;2647;80;232;158;138;612;2620;1828;6267;608;11327;12694;253.0;1114.0;265.0;103.0
2033;44087;2748;69;249;140;123;528;2812;1619;5586;581;10545;11961;259.0;1157.0;200.0;96.0
2034;43863;2717;82;229;190;136;627;2586;2198;6176;637;11587;12988;257.0;1144.0;234.0;128.0
2035;44446;2741;65;252;134;115;497;2846;1550;5223;566;10116;11531;261.0;1154.0;228.0;108.0
2036;43797;2663;78;237;162;122;596;2676;1874;5541;599;10687;12065;257.0;1121.0;245.0;115.0
2037;44020;2730;79;241;153;108;604;2722;1770;4905;581;10001;11408;258.0;1149.0;228.0;98.0
2038;43370;2685;79;250;167;119;604;2823;1932;5404;615;10763;12147;254.0;1130.0;332.0;118.0
2039;43717;2700;75;255;180;117;574;2880;2082;5313;627;10849;12242;256.0;1137.0;248.0;112.0
2040;43547;2668;68;267;171;133;520;3015;1978;6040;639;11553;12931;255.0;1123.0;290.0;124.0
2041;44292;2716;65;282;157;129;497;3185;1816;5858;633;11356;12759;260.0;1143.0;205.0;112.0
2042;44614;2646;64;235;145;121;489;2654;1677;5495;565;10315;11691;262.0;1114.0;173.0;86.0
