Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;4261;261;23;189;122;107;176;2134;1411;4859;441;8580;8715;25.0;110.0;18.0;8.0
2024;4544;283;26;198;122;114;199;2236;1411;5177;460;9023;9169;27.0;119.0;72.0;21.0
2025;4607;290;22;215;123;108;168;2428;1423;4905;468;8924;9073;27.0;122.0;13.0;11.0
2026;4851;300;16;206;141;126;122;2326;1631;5722;489;9801;9955;28.0;126.0;8.0;14.0
2027;4962;316;20;213;112;115;153;2405;1296;5223;460;9077;9239;29.0;133.0;22.0;11.0
2028;5120;301;17;247;137;115;130;2789;1585;5223;516;9727;9884;30.0;127.0;4.0;6.0
2029;5151;315;33;243;124;118;252;2744;1434;5359;518;9789;9952;30.0;133.0;19.0;16.0
2030;5255;311;23;254;152;123;176;2868;1758;5586;552;10388;10550;31.0;131.0;11.0;13.0
2031;5401;313;28;262;157;140;214;2959;1816;6358;587;11347;11511;32.0;132.0;27.0;11.0
2032;5412;342;33;265;173;152;252;2993;2001;6903;623;12149;12325;32.0;144.0;39.0;16.0
2033;5514;347;26;268;146;134;199;3027;1689;6085;574;11000;11178;32.0;146.0;27.0;12.0
2034;5470;378;29;244;194;147;222;2756;2244;6676;614;11898;12089;32.0;159.0;42.0;21.0
2035;5546;350;23;284;139;125;176;3207;1608;5677;571;10668;10848;33.0;147.0;24.0;17.0
2036;5492;330;35;257;162;139;268;2902;1874;6313;593;11357;11528;32.0;139.0;29.0;14.0
2037;5500;336;32;271;152;130;245;3060;1758;5904;585;10967;11140;32.0;141.0;1.0;10.0
2038;5448;317;34;276;156;131;260;3117;1805;5949;597;11131;11296;32.0;133.0;73.0;21.0
2039;5427;363;34;285;172;135;260;3219;1990;6131;626;11600;11785;32.0;153.0;28.0;12.0
2040;5432;323;24;281;162;146;184;3173;1874;6630;613;11861;12029;32.0;136.0;35.0;17.0
2041;5547;358;25;307;155;140;191;3467;1793;6358;627;11809;11993;33.0;151.0;49.0;17.0
2042;5538;309;30;274;150;141;229;3094;1735;6403;595;11461;11623;32.0;130.0;4.0;10.0
