Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;15657;989;43;197;138;110;329;2225;1596;4996;488;9146;9654;92.0;416.0;110.0;80.0;86.0;107.0;55.0
2024;15898;1052;57;195;132;113;436;2202;1527;5132;497;9297;9833;93.0;443.0;217.0;155.0;156.0;201.0;65.0
2025;16367;960;37;213;125;108;283;2405;1446;4905;483;9039;9539;96.0;404.0;103.0;76.0;82.0;97.0;39.0
2026;16439;1004;26;206;138;124;199;2326;1596;5631;494;9752;10271;96.0;423.0;96.0;71.0;73.0;92.0;31.0
2027;16901;1062;39;205;114;110;298;2315;1319;4996;468;8928;9474;99.0;447.0;116.0;81.0;82.0;104.0;41.0
2028;16996;1040;34;242;135;115;260;2733;1562;5223;526;9778;10316;100.0;438.0;89.0;64.0;69.0;86.0;35.0
2029;17328;1041;48;233;128;112;367;2631;1481;5086;521;9565;10105;102.0;438.0;85.0;58.0;64.0;79.0;46.0
2030;17527;1063;40;252;155;116;306;2846;1793;5268;563;10213;10764;103.0;448.0;111.0;76.0;79.0;102.0;49.0
2031;17906;1048;37;257;156;137;283;2902;1805;6222;587;11212;11758;105.0;441.0;94.0;65.0;69.0;88.0;32.0
2032;18061;1122;39;261;165;146;298;2948;1909;6630;611;11785;12363;106.0;472.0;94.0;63.0;71.0;87.0;38.0
2033;18313;1171;37;263;142;127;283;2970;1643;5768;569;10664;11264;107.0;493.0;68.0;46.0;50.0;63.0;38.0
2034;18392;1118;45;236;186;139;344;2665;2152;6313;606;11474;12053;108.0;471.0;115.0;81.0;88.0;107.0;45.0
2035;18661;1136;27;274;147;114;206;3094;1700;5177;562;10177;10764;109.0;478.0;77.0;47.0;56.0;69.0;36.0
2036;18687;1125;50;249;168;132;382;2812;1943;5995;599;11132;11716;110.0;474.0;124.0;87.0;92.0;116.0;45.0
2037;18988;1198;45;264;153;130;344;2981;1770;5904;592;10999;11614;111.0;504.0;54.0;34.0;40.0;51.0;37.0
2038;19149;1151;41;269;161;133;314;3038;1862;6040;604;11254;11851;112.0;485.0;100.0;67.0;72.0;90.0;51.0
2039;19499;1173;46;282;181;130;352;3185;2094;5904;639;11535;12143;114.0;494.0;92.0;59.0;61.0;85.0;47.0
2040;19744;1174;34;274;166;140;260;3094;1920;6358;614;11632;12242;116.0;494.0;60.0;41.0;48.0;55.0;45.0
2041;19872;1242;36;291;156;136;275;3286;1805;6176;619;11542;12182;117.0;523.0;132.0;101.0;98.0;121.0;39.0
2042;20293;1148;46;266;144;136;352;3004;1666;6176;592;11198;11800;119.0;483.0;102.0;77.0;79.0;96.0;37.0
