Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;13006;815;38;196;132;110;291;2213;1527;4996;476;9027;9446;76.0;343.0;77.0;43.0
2024;13431;920;43;197;135;114;329;2225;1562;5177;489;9293;9759;79.0;387.0;154.0;57.0
2025;14170;835;34;214;125;105;260;2417;1446;4768;478;8891;9326;83.0;352.0;78.0;33.0
2026;14421;887;33;207;138;122;252;2338;1596;5541;500;9727;10185;85.0;373.0;123.0;40.0
2027;15182;963;38;205;114;112;291;2315;1319;5086;469;9011;9505;89.0;405.0;113.0;43.0
2028;15217;956;31;242;134;113;237;2733;1550;5132;520;9652;10143;89.0;402.0;95.0;34.0
2029;15785;950;47;239;133;112;359;2699;1538;5086;531;9682;10175;93.0;400.0;95.0;47.0
2030;15675;951;36;247;150;113;275;2789;1735;5132;546;9931;10423;92.0;400.0;68.0;35.0
2031;16385;964;35;254;169;134;268;2868;1955;6085;592;11176;11678;96.0;406.0;38.0;42.0
2032;16133;1011;43;255;165;150;329;2880;1909;6812;613;11930;12451;95.0;426.0;100.0;40.0
2033;16659;1077;40;254;143;132;306;2868;1654;5995;569;10823;11374;98.0;453.0;63.0;36.0
2034;16370;1018;49;239;188;136;375;2699;2175;6176;612;11425;11950;96.0;429.0;138.0;52.0
2035;16787;1029;30;279;145;120;229;3151;1677;5450;574;10507;11038;98.0;433.0;74.0;42.0
2036;16308;995;52;246;164;133;398;2778;1897;6040;595;11113;11628;96.0;419.0;141.0;43.0
2037;16608;1052;49;265;149;126;375;2993;1724;5722;589;10814;11354;97.0;443.0;67.0;38.0
2038;16186;976;40;270;162;131;306;3049;1874;5949;603;11178;11684;95.0;411.0;123.0;50.0
2039;16424;998;44;281;172;129;336;3173;1990;5858;626;11357;11873;96.0;420.0;110.0;42.0
2040;16333;980;34;281;161;135;260;3173;1862;6131;611;11426;11935;96.0;413.0;85.0;44.0
2041;16556;1036;35;290;157;136;268;3275;1816;6176;618;11535;12068;97.0;436.0;86.0;38.0
2042;16579;943;44;268;140;139;336;3027;1619;6313;591;11295;11789;97.0;397.0;52.0;38.0
