Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;4261;261;23;189;122;107;176;2134;1411;4859;441;8580;8715;25.0;110.0;18.0;8.0
2024;4543;284;26;198;123;114;199;2236;1423;5177;461;9035;9182;27.0;120.0;71.0;22.0
2025;4607;290;22;215;123;108;168;2428;1423;4905;468;8924;9073;27.0;122.0;13.0;11.0
2026;4852;298;16;206;140;125;122;2326;1619;5677;487;9744;9897;28.0;125.0;16.0;12.0
2027;4964;316;20;212;112;115;153;2394;1296;5223;459;9066;9228;29.0;133.0;16.0;10.0
2028;5122;301;17;247;135;116;130;2789;1562;5268;515;9749;9906;30.0;127.0;-3.0;6.0
2029;5152;317;32;244;125;118;245;2756;1446;5359;519;9806;9969;30.0;133.0;18.0;18.0
2030;5256;312;23;254;151;123;176;2868;1747;5586;551;10377;10539;31.0;131.0;11.0;13.0
2031;5402;314;29;262;157;140;222;2959;1816;6358;588;11355;11519;32.0;132.0;37.0;12.0
2032;5411;344;33;264;174;153;252;2981;2013;6948;624;12194;12371;32.0;145.0;39.0;18.0
2033;5510;348;27;268;145;133;206;3027;1677;6040;573;10950;11129;32.0;147.0;32.0;13.0
2034;5470;377;28;245;192;146;214;2767;2221;6630;611;11832;12023;32.0;159.0;44.0;19.0
2035;5549;350;23;284;139;125;176;3207;1608;5677;571;10668;10848;33.0;147.0;19.0;16.0
2036;5488;328;36;254;163;139;275;2868;1885;6313;592;11341;11511;32.0;138.0;27.0;15.0
2037;5503;338;33;271;152;131;252;3060;1758;5949;587;11019;11193;32.0;142.0;8.0;11.0
2038;5442;315;34;275;155;132;260;3106;1793;5995;596;11154;11319;32.0;133.0;73.0;19.0
2039;5431;365;34;286;173;135;260;3230;2001;6131;628;11622;11808;32.0;154.0;20.0;14.0
2040;5434;320;23;278;161;146;176;3140;1862;6630;608;11808;11975;32.0;135.0;33.0;15.0
2041;5548;360;24;307;158;139;184;3467;1828;6313;628;11792;11977;33.0;152.0;54.0;17.0
2042;5536;309;30;272;148;141;229;3072;1712;6403;591;11416;11578;32.0;130.0;3.0;11.0
