Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;8576;539;34;192;127;107;260;2168;1469;4859;460;8756;9033;50.0;227.0;73.0;27.0
2024;8936;599;33;199;124;112;252;2247;1434;5086;468;9019;9323;52.0;252.0;104.0;33.0
2025;9368;556;30;216;123;109;229;2439;1423;4950;478;9041;9330;55.0;234.0;56.0;30.0
2026;9594;616;29;209;141;123;222;2360;1631;5586;502;9799;10114;56.0;259.0;79.0;34.0
2027;10037;631;34;205;109;111;260;2315;1261;5041;459;8877;9202;59.0;266.0;80.0;25.0
2028;10125;635;27;246;131;116;206;2778;1515;5268;520;9767;10093;59.0;267.0;61.0;20.0
2029;10454;630;35;237;126;113;268;2676;1458;5132;511;9534;9860;61.0;265.0;28.0;21.0
2030;10431;602;27;251;151;121;206;2835;1747;5495;550;10283;10597;61.0;253.0;51.0;22.0
2031;10835;637;35;257;161;136;268;2902;1862;6176;589;11208;11540;64.0;268.0;60.0;27.0
2032;10757;676;37;259;169;151;283;2925;1955;6858;616;12021;12369;63.0;285.0;43.0;25.0
2033;11006;690;31;266;144;133;237;3004;1666;6040;574;10947;11302;65.0;290.0;43.0;21.0
2034;10926;684;41;244;192;140;314;2756;2221;6358;617;11649;12001;64.0;288.0;108.0;38.0
2035;11166;691;26;284;143;121;199;3207;1654;5495;574;10555;10911;65.0;291.0;61.0;30.0
2036;10904;674;39;254;168;133;298;2868;1943;6040;594;11149;11497;64.0;284.0;66.0;29.0
2037;11048;715;42;267;156;130;321;3015;1805;5904;595;11045;11411;65.0;301.0;52.0;28.0
2038;10865;650;38;271;155;131;291;3060;1793;5949;595;11093;11431;64.0;274.0;84.0;31.0
2039;10890;685;43;289;171;129;329;3264;1978;5858;632;11429;11781;64.0;288.0;90.0;29.0
2040;10945;652;31;283;159;142;237;3196;1839;6449;615;11721;12059;64.0;274.0;69.0;32.0
2041;10971;687;27;297;153;139;206;3354;1770;6313;616;11643;11996;64.0;289.0;52.0;25.0
2042;11127;623;34;271;145;139;260;3060;1677;6313;589;11310;11637;65.0;262.0;16.0;18.0
