Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;13006;815;38;196;132;110;291;2213;1527;4996;476;9027;9446;76.0;343.0;77.0;43.0
2024;13433;920;43;197;134;114;329;2225;1550;5177;488;9281;9747;79.0;387.0;155.0;56.0
2025;14170;840;36;214;126;106;275;2417;1458;4814;482;8964;9401;83.0;354.0;86.0;37.0
2026;14421;888;33;207;139;122;252;2338;1608;5541;501;9739;10198;85.0;374.0;122.0;41.0
2027;15182;963;38;205;113;112;291;2315;1307;5086;468;8999;9493;89.0;405.0;119.0;42.0
2028;15218;955;31;241;134;112;237;2722;1550;5086;518;9595;10086;89.0;402.0;94.0;33.0
2029;15788;949;47;237;133;112;359;2676;1538;5086;529;9659;10152;93.0;400.0;79.0;46.0
2030;15674;951;37;246;150;113;283;2778;1735;5132;546;9928;10420;92.0;400.0;72.0;36.0
2031;16385;964;35;254;169;133;268;2868;1955;6040;591;11131;11633;96.0;406.0;48.0;42.0
2032;16132;1012;41;255;168;149;314;2880;1943;6767;613;11904;12425;95.0;426.0;91.0;41.0
2033;16656;1075;40;254;143;130;306;2868;1654;5904;567;10732;11283;98.0;453.0;77.0;34.0
2034;16371;1015;48;240;187;138;367;2710;2163;6267;613;11507;12030;96.0;427.0;134.0;51.0
2035;16786;1035;30;283;145;122;229;3196;1677;5541;580;10643;11177;98.0;436.0;71.0;44.0
2036;16310;997;53;246;165;133;405;2778;1909;6040;597;11132;11648;96.0;420.0;147.0;46.0
2037;16609;1049;48;264;149;127;367;2981;1724;5768;588;10840;11379;97.0;442.0;75.0;36.0
2038;16199;974;40;270;162;130;306;3049;1874;5904;602;11133;11638;95.0;410.0;116.0;46.0
2039;16429;993;41;281;173;131;314;3173;2001;5949;626;11437;11951;96.0;418.0;81.0;37.0
2040;16336;981;32;285;160;136;245;3219;1851;6176;613;11491;12000;96.0;413.0;69.0;45.0
2041;16563;1036;39;293;154;136;298;3309;1781;6176;622;11564;12097;97.0;436.0;109.0;39.0
2042;16572;944;45;269;142;139;344;3038;1643;6313;595;11338;11832;97.0;397.0;59.0;40.0
